year,customer,pocket price,demand,covestro,mcns,wanhua,basf,hanwha,sabic,other,tw_pp,apac_pp
2024,KunChing (ID),1.689,1259,721,138,200,200,0,0,0,1.635,1.64
2024,Chiao Fu (TW),1.6,719,406,0,100,213,0,0,0,1.635,1.64
2024,Holy Foam,1.75,73,73,0,0,0,0,0,0,1.635,1.64
2024,Tayfull,1.674,186,186,0,0,0,0,0,0,1.635,1.64
2024,JIANN FONG,1.647,925,425,240,140,120,0,0,0,1.635,1.64
2024,Aica,1.599,1154,388,300,200,266,0,0,0,1.635,1.64
2024,CHEN CHI HSIANG,1.643,877,778,0,0,99,0,0,0,1.635,1.64
2024,Chiao Fu (AU),1.814,120,100,0,0,20,0,0,0,1.635,1.64
2024,Headway,1.624,674,481,0,0,193,0,0,0,1.635,1.64
2024,Inoac,1.696,70,46,0,24,0,0,0,0,1.635,1.64
2024,KunChing (TW),1.553,498,111,80,107,200,0,0,0,1.635,1.64
2024,KunChing (VN),1.669,1050,580,0,300,170,0,0,0,1.635,1.64
2024,Len Wa,1.646,294,294,0,0,0,0,0,0,1.635,1.64
2024,Tong Fong,1.62,476,353,123,0,0,0,0,0,1.635,1.64
2025,Aica,1.496,925,185,200,300,240,0,0,0,1.49,1.25
2025,CHEN CHI HSIANG,1.468,919,800,0,0,119,0,0,0,1.49,1.25
2025,Chiao Fu (AU),1.561,160,80,0,80,0,0,0,0,1.49,1.25
2025,Chiao Fu (TW),1.511,882,573,0,100,209,0,0,0,1.49,1.25
2025,Headway,1.482,906,373,0,313,220,0,0,0,1.49,1.25
2025,Holy Foam,1.582,56,56,0,0,0,0,0,0,1.49,1.25
2025,Inoac,1.506,60,15,45,0,0,0,0,0,1.49,1.25
2025,JIANN FONG,1.48,872,389,0,300,183,0,0,0,1.49,1.25
2025,KunChing (ID),1.578,1620,964,100,200,356,0,0,0,1.49,1.25
2025,KunChing (TW),1.467,831,444,0,187,200,0,0,0,1.49,1.25
2025,KunChing (VN),1.544,1200,660,100,300,140,0,0,0,1.49,1.25
2025,Tayfull,1.502,189,156,0,0,33,0,0,0,1.49,1.25
2025,Tong Fong,1.476,468,388,0,80,0,0,0,0,1.49,1.25
2025,CRECIMIENTO,1.37,600,40,0,400,160,0,0,0,1.49,1.25
2025,Len Wa,1.482,396,352,0,44,0,0,0,0,1.49,1.25
2026,Aica,1.47,336,56,0,80,200,0,0,0,0,0
2026,CHEN CHI HSIANG,1.61,261,241,0,0,20,0,0,0,0,0
2026,Chiao Fu (AU),1.52,60,20,0,40,0,0,0,0,0,0
2026,Chiao Fu (TW),1.62,240,151,0,0,80,0,0,0,0,0
2026,Headway,1.54,290,130,0,100,60,0,0,0,0,0
2026,Holy Foam,1.91,18,18,0,0,0,0,0,0,0,0
2026,Inoac,0,0,0,0,0,0,0,0,0,0,0
2026,JIANN FONG,1.75,300,74,0,220,0,0,0,0,0,0
2026,KunChing (ID),1.69,300,149,0,0,140,0,0,0,0,0
2026,KunChing (TW),1.66,265,185,0,0,80,0,0,0,0,0
2026,KunChing (VN),1.68,360,200,0,0,160,0,0,0,0,0
2026,Tayfull,1.58,65,48,0,16,0,0,0,0,0,0
2026,Tong Fong,1.58,60,60,0,0,0,0,0,0,0,0
2026,CRECIMIENTO,0,500,0,0,100,400,0,0,0,0,0
2026,Len Wa,1.6,60,60,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
